FracTEL Outbound Rate Deck - ShortDuration,,,
SYNTHETIC SAMPLE - NOT REAL PRICING,,,
Generated for tools/build-blocklist.py self-test only,,,
,,,
Code,Destination,Rate Per Minute,Effective Date
1252555,NC-252 ROBERSONVILLE,$1.566400,2026-08-01
1531555,NE-531 OMAHA,$1.566400,2026-08-01
1218555,MN-218 WARROAD,0.765600,2026-08-01
1712555,IA-712 STORM LAKE,0.592350,2026-08-01
1605555,SD-605 SIOUX FALLS,0.405240,2026-08-01
1406555,MT-406 KALISPELL,0.255860,2026-08-01
1307555,WY-307 CHEYENNE,0.168080,2026-08-01
1620555,KS-620 EMPORIA,0.126500,2026-08-01
1719555,CO-719 COLORADO SPRINGS,0.104170,2026-08-01
1938555,AL-938 GADSDEN,0.091080,2026-08-01
1315555,NY-315 NEWARK,0.088000,2026-08-01
+1-347-555,"NY-347 BROOKLYN, KINGS",0.099000,2026-08-01
1212555,NY-212 MANHATTAN,0.017545,2026-08-01
1310555,CA-310 LOS ANGELES,0.017545,2026-08-01
1415555,CA-415 SAN FRANCISCO,0.017545,2026-08-01
1773555,IL-773 CHICAGO,0.017930,2026-08-01
1646555,NY-646 MANHATTAN,0.017545,2026-08-01
1214555,TX-214 DALLAS,0.017853,2026-08-01
1305555,FL-305 MIAMI,0.018007,2026-08-01
1602555,AZ-602 PHOENIX,0.017699,2026-08-01
1252555,NC-252 ROBERSONVILLE INTRASTATE,$1.458600,2026-08-01
1218555,MN-218 WARROAD OFFPEAK,0.326700,2026-08-01
1907555,AK-907 KETCHIKAN,0.965800,2026-08-01
1808555,HI-808 LIHUE,0.503800,2026-08-01
1876555,JAMAICA MOBILE,1.789700,2026-08-01
1809555,DOMINICAN REPUBLIC,1.535600,2026-08-01
1284555,BRITISH VIRGIN ISLANDS,1.366200,2026-08-01
1416555,ON-416 TORONTO,0.153450,2026-08-01
1604555,BC-604 VANCOUVER,0.157300,2026-08-01
1787555,PR-787 SAN JUAN,0.027170,2026-08-01
1800555,TOLL FREE,0.000000,2026-08-01
1900555,PREMIUM,3.476000,2026-08-01
441632960,UNITED KINGDOM MOBILE,0.249700,2026-08-01
25212555,SOMALIA MOBILE,1.504800,2026-08-01
1268,ANTIGUA NPA-WIDE,0.696300,2026-08-01
1701,ND-701 NPA-WIDE,0.099550,2026-08-01
1435,UT-435 NPA-WIDE,0.094160,2026-08-01
,MISSING CODE ROW,0.500000,2026-08-01
1936555,TX-936 HUNTSVILLE,not-a-rate,2026-08-01
1276555,VA-276 BRISTOL,0.503800,2026-08-01
1304555,WV-304 GLENVILLE,0.456060,2026-08-01
1541555,OR-541 BEND,0.421410,2026-08-01
1509555,WA-509 PULLMAN,0.387530,2026-08-01
1928555,AZ-928 FLAGSTAFF,0.320540,2026-08-01
1575555,NM-575 RATON,0.300520,2026-08-01
1208555,ID-208 BONNERS FERRY,0.281270,2026-08-01
1775555,NV-775 ELY,0.240460,2026-08-01
1660555,MO-660 CHILLICOTHE,0.196570,2026-08-01
1580555,OK-580 WOODWARD,0.163460,2026-08-01
1870555,AR-870 PARAGOULD,0.146520,2026-08-01
1985555,LA-985 HOUMA,0.129580,2026-08-01
1662555,MS-662 TUPELO,0.121110,2026-08-01
1731555,TN-731 JACKSON,0.112640,2026-08-01
1606555,KY-606 HAZARD,0.109560,2026-08-01
1740555,OH-740 ATHENS,0.102630,2026-08-01
1989555,MI-989 MOUNT PLEASANT,0.098010,2026-08-01
1715555,WI-715 WISCONSIN RAPIDS,0.093390,2026-08-01
1802555,VT-802 BRATTLEBORO,0.089540,2026-08-01
1207555,ME-207 CARIBOU,0.088770,2026-08-01
1603555,NH-603 LITTLETON,0.084150,2026-08-01
1315555,NY-315 WATERTOWN,0.078760,2026-08-01
